,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
1,0022300012,1610612762,Utah,Jazz,UTA,jazz,240:00,124.8,125.7,116.7,121.0,8.1,4.7,0.683,1.33,20.3,0.306,0.655,0.516,20.637,20.8,0.658,0.715,1.0,0.195,102.74,100.5,83.75,101.0,0.592
0,0022300013,1610612759,San Antonio,Spurs,SAS,spurs,240:00,102.5,104.8,112.6,111.4,-10.2,-6.7,0.674,2.07,20.2,0.245,0.688,0.455,13.04,13.3,0.533,0.548,1.0,0.201,105.62,105.0,87.5,105.0,0.475
1,0022300013,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,112.6,111.4,102.5,104.8,10.2,6.7,0.535,1.28,16.4,0.313,0.755,0.545,17.328,17.1,0.552,0.592,1.0,0.198,105.62,105.0,87.5,105.0,0.525
0,0022300014,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,139.2,145.5,127.5,128.6,11.7,16.9,0.588,3.33,20.2,0.396,0.574,0.484,8.701,9.1,0.617,0.658,1.0,0.193,101.14,98.5,82.08,99.0,0.565
1,0022300014,1610612746,LA,Clippers,LAC,clippers,240:00,127.5,128.6,139.2,145.5,-11.7,-16.9,0.488,1.5,15.1,0.426,0.604,0.516,14.164,14.3,0.534,0.607,1.0,0.199,101.14,98.5,82.08,98.0,0.435
0,0022300015,1610612756,Phoenix,Suns,PHX,suns,240:00,116.8,120.2,120.8,123.2,-4.0,-3.0,0.524,1.69,15.6,0.37,0.761,0.55,12.76,13.1,0.527,0.562,1.0,0.197,101.42,99.0,82.5,99.0,0.452
1,0022300015,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,120.8,123.2,116.8,120.2,4.0,3.0,0.643,2.45,19.7,0.239,0.63,0.45,10.895,11.1,0.571,0.616,1.0,0.196,101.42,99.0,82.5,99.0,0.548
0,0022300016,1610612758,Sacramento,Kings,SAC,kings,240:00,102.7,105.0,93.3,99.0,9.4,6.0,0.737,1.56,19.1,0.382,0.776,0.567,17.606,18.0,0.489,0.524,1.0,0.198,103.64,99.5,82.92,100.0,0.524
1,0022300016,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,93.3,99.0,102.7,105.0,-9.4,-6.0,0.564,1.38,16.7,0.224,0.618,0.433,15.232,16.2,0.489,0.521,1.0,0.198,103.64,99.5,82.92,99.0,0.476
0,0022300017,1610612766,Charlotte,Hornets,CHA,hornets,240:00,109.7,111.7,118.9,115.6,-9.2,-3.9,0.583,1.17,16.2,0.304,0.75,0.522,18.813,19.1,0.537,0.579,1.0,0.199,94.5,95.0,79.17,94.0,0.421
